10;0;4
10;0;5
10;0;4
10;0;4
10;0;4
100;0;4
100;0;4
100;0;5
100;0;4
100;0;4
1000;0;4
1000;0;4
1000;0;4
1000;0;4
1000;0;4
10000;1;5
10000;1;5
10000;1;6
10000;1;6
10000;0;5
100000;15;11
100000;15;11
100000;14;12
100000;15;12
100000;14;12
1000000;94;83
1000000;92;98
1000000;92;85
1000000;93;91
1000000;93;78
10000000;1013;765
10000000;1024;749
10000000;1048;762
10000000;1023;644
10000000;1023;690
100000000;10795;8011
100000000;10886;7843
100000000;10968;7836
100000000;10893;8339
100000000;10906;7985
